"C"||"C"||||33|||150|||117||0|0|0|0|3|4|87|92|100|72|83|100|54|64|81|6|8|13|90|94.6|100|0|0.7|5|10|12.9|15|30|36.6|40|35|37.3|40|5|7.1|10|0|1.4|5|||||||3|4|8|1|3.5|5|0.5|0.7|0.9||||1.5|1.6|1.7||||1.58|1.68|1.76||42.34|91.74|141.14|0.05|0.06|0.07|8.5|12.7|16.9|6.2|9.3|13.7|2.3|3.4|7|26|32|41|0|1.5|2.9|0|17|22|0|0|0|0|0|0|".02"|".02"|0|0|0|0|0|0|0|0|0|0|1|2|2.5|3.5|6.5||||40|44.1|45|6.6|7.5|8.4|7.6|7.9|8|0|0|0|0|0|0.01|0|0|0|0|0|0|0|0|0||||115|128|480|||||||||"18273628"|"53470629"
"A"||"A"||||0|||33|||33||0|0|0|0|3|5|85|91|100|68|80|100|52|62|83|17|22|32|80|82|100|0|3.1|5|10|12.9|15|20|21.6|25|25|28.4|30|15|16|20|10|12|15|||||||4|6|14|5|6.4|8|10|12.5|15||||1.2|1.3|1.4||||1.27|1.37|1.43||42.34|91.74|141.14|0.08|0.09|0.1|18|25.5|31.8|16.3|23.1|30.5|11.9|16.9|26.5|29|36|45|0|1.5|2.9|37|46|58|0|0|0|0|0|0|".05"|".05"|0|0|0|0|0|0|0|0|0|0|1|2|6.8|10|21.2||||60|64.7|70|6.6|7.5|8.4|7.1|7.3|7.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||800|1006.2|1200|||||||||"18273628"|"53470630"
"C"||"C"||||20|||150|||130||0|0|0|0|3|4|87|92|100|72|83|100|54|64|80|6|8|12|73|75|79||3.2|||11.6|||19.1|||25|||14.1||18|18|28|||||||3|4|5|2|2|7|0.05|0.1|0.2||||1.5|1.6|1.7||||1.58|1.68|1.76||42.34|91.74|141.14|0.05|0.06|0.07|7.8|11.8|14.4|5.5|8.2|10.5|1.7|2.6|3.8|27|33|41|0|1.5|2.9|0|16|21|0|0|0|0|0|0|".15"|".15"|0|0|0|0|0|0|0|0|0|0|1|2|1.4|2.1|4.5||||40|44.1|45|6.6|7.5|8.4|7.6|7.9|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0.1|0.1||||1000|1168.7|1200|||||||||"18273629"|"53470631"
"A"||"A"||||0|||20|||20||0|0|0|7|12|17|47|55|60|30|45|52|23|35|43|8|12|17|80|82|100|0|3.1|5|10|12.9|15|20|21.6|25|25|28.4|35|15|16|20|10|12|15|||||||4|6|14|3|5|13|10|12.5|15||||1.2|1.3|1.4||||1.3|1.4|1.51||42.34|91.74|141.14|0.04|0.05|0.06|9.2|16.7|20.9|8.3|15.1|20|6.1|11.1|17.4|15|23|30|0|1.5|2.9|37|46|58|0|0|0|0|0|0|".02"|".05"|0|0|0|0|0|0|0|0|0|0|1|2|6.8|10|21.2||||60|64.7|70|6.6|7.5|8.4|7.1|7.3|7.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0.1|0.1||||800|1006.2|1200|||||||||"18273629"|"53470632"
"2C"|2|"C"||||45|||200|||155||0|0|0|0|0|0|55|72|100|53|71|100|46|63|92|5|8|14|90|91|98||0.3|||2.6|||31.8|||51.5|||4.8||0|5.6|6|0.5|1.5|1.5|0|4.1|4.5|2|3.4|6|1|3.5|6|0|0.62|0.65||||1.5|1.6|1.7||||1.53|1.63|1.73||43|91|141|0.04|0.06|0.07|3.8|11.2|15.7|2.7|8|12.1|0.9|2.7|5.2|22|30|41|0|0.5|1|5|15|15|0|1|4|0|0|0|".02"|".02"|95|95|98|0|0|0|0|1|2|0|1|2|0.2|0.6|1.8||||40|44.1|45|8|8.5|8.6|7.6|7.9|8|0|0|0|0|0|0.01|0|0|0|0|0|0|0|0|0|0.5|1|1.5|115|128.6|480|||||||"Low"|"Moist"|"18273630"|"53470633"
"Oi"||"O"||||0|||10|||10||0|0|0|0|0|0|||||||||||||85||100||0||||||||||||||0||10|0|1|2|0|5|8|0|4|5|0|0|1|85|89|95||||0.1|0.2|0.3||||||||300|450|700|0.15|0.3|0.45||||51.9|52.8|54.2|17.3|18.1|19.2|60|65|69|0|0.5|1|0|0|2|0|0|1|0|0||||0|0|5|0|0|0|0|0.1|0.5|0.1|0.5|3|140|155|160|70|75|80|220|235|250|6.3|6.6|7.3|6|6.5|7.2|0|0|0|0|0|0|30|35|40|0.01|0.01|0.01|0|0|0|0.5|1|1.5|120|148|150|||||||"Low"|"Wet"|"18273630"|"53470634"
"Oe"||"O"||||10|||28|||18||0|0|0|0|0|0|||||||||||||85||100||0||||||||||||||0||10|0|1|2|0|5|8|0|4|5|0|0|1|95|98|100||||0.1|0.2|0.3||||||||450|500|600|0.15|0.3|0.45||||53.8|54.3|54.7|18.3|18.8|19.2|59|64|69|0|0.5|1|0|0|2|0|0|1|0|0||||0|0|5|0|0|0|0|0.1|0.5|0.1|0.5|3|140|155|160|70|75|80|220|235|250|6.3|6.8|7.3|6|6.7|7.2|0|0|0|0|0|0|30|35|40|0.01|0.01|0.01|0|0|0|0.5|1|1.5|120|148|150|||||||"Low"|"Wet"|"18273630"|"53470635"
"Oa"||"O"||||28|||45|||17||0|0|0|0|0|0|||||||||||||||||0||||||||||||||0||10|0|1|2|0|5|8|0|4|5|0|0|1|60|65|70||||0.1|0.2|0.3||||||||100|300|400|0.15|0.3|0.45||||53.3|53.9|54.4|10.4|11.1|11.9|61|65|70|0|0.5|1|0|0|2|0|0|1|0|0||||0|0|5|0|0|0|0|0.1|0.5|0.1|0.5|3|140|155|160|70|75|80|220|235|250|3|3.1|5|2.8|2.9|4.9|0|0|0|0|0|0|30|35|40|0.01|0.01|0.01|0|0|0|0.5|1|1.5|120|148|150|||||||"Low"|"Wet"|"18273630"|"53470636"
"C"||"C"||||0|||200|||200||0|0|0|0|0|0|55|72|100|53|71|100|46|63|92|5|8|14|90|91|98||0.3|||2.6|||31.8|||51.5|||4.8||0|5.6|6|0.5|1.5|1.5|0|4.1|4.5|2|3.4|6|1|3.5|6|0|0.62|0.65||||1.5|1.6|1.7||||1.53|1.63|1.73||43|91|141|0.04|0.06|0.07|3.8|11.2|15.7|2.7|8|12.1|0.9|2.7|5.2|22|30|41|0|0.5|1|5|15|15|0|1|4|0|0|0|".02"|".02"|95|95|98|0|0|0|0|1|2|0|1|2|0.2|0.6|1.8||||40|44.1|45|8|8.5|8.6|7.6|7.9|8|0|0|0|0|0|0.01|0|0|0|0|0|0|0|0|0|0.5|1|1.5|115|128.6|480|||||||"Low"|"Moist"|"18273631"|"53470637"
"AC"||"AC"|||10|23|30|30|45|55|20|22|25|0|0|0|0|0|0|91|92|100|82|87|100|63|69|82|16|19|24|87|90|95|0|3|5|12|12|15|25|25|25|30|30|30|20|20|20|0|5|10||2|||3||3|5|8|1|3.5|5|0.5|0.7|0.9||||1.5|1.6|1.7||||1.51|1.61|1.71||42.34|91.74|141.14|0.05|0.06|0.07|11.9|13.9|16.9|8.2|10.5|13.7|2.6|4.2|7|30|34|41|0|0.1|0.6|0|0|21|0|0|4|0|0|0|".10"|".10"|10|25|50|0|0|0|0|0|0|0|1|2|1.5|1.8|2.9||||3.3|40.2|41.9|6.6|7.5|8.4|7.6|7.9|8|0|0|0|0|0|0.01|0|0|1.7|0|0|0|0|0|0||||115|128|480|||||||||"18273648"|"53470663"
"2C1"|2|"C"||1|30|45|55|60|75|95|30|30|40|0|0|0|0|0|0|77|85|89|54|71|77|41|54|62|4|6|9|90|95|95|0|0.7|5|10|13|15|35|36.8|40|35|37.4|40|5|7.1|10|0|1|5||0.5|||0.5||3|4|7|2|3|6|0.05|0.1|0.2||||1.5|1.6|1.7||||1.5|1.6|1.7||42.34|91.74|141.14|0.04|0.06|0.07|8.2|10.8|13.3|5.4|7.6|10.2|1.4|2.4|4.4|22|30|35|0|0|0.4|0|0|18|0|0|2|0|0|0|".02"|".02"|10|40|50|0|0|0|0|0|0|0|1|2|0.6|0.7|0.8||||2.2|39.3|39.8|7.4|8.2|9|7.6|7.9|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||115|128.6|480|||||||||"18273648"|"53470664"
"2C2"|2|"C"||2|60|75|95|100|150|200|40|75|105|0|0|0|0|0|0|77|87|89|54|72|77|41|55|62|4|6|9|90|95|95|0|0.7|5|10|13|15|35|36.8|40|35|37.4|40|5|7.1|10|0|1|5||0.5|||0.5||3|4|7|2|3|6|0.05|0.1|0.2||||1.5|1.6|1.7||||1.5|1.6|1.7||42.34|91.74|141.14|0.04|0.06|0.07|8.2|10.9|13.3|5.4|7.6|10.2|1.4|2.4|4.4|22|30|35|0|0|0.4|0|0|18|0|0|2|0|0|0|".02"|".02"|10|40|50|0|0|0|0|0|0|0|1|2|0.6|0.7|0.8||||2.2|39.3|39.8|7.4|8.2|9|7.6|7.9|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||115|128.6|480|||||||||"18273648"|"53470665"
"A"||"A"|||0|0|0|10|23|30|10|23|30|0|0|0|0|0|0|88|91|100|75|82|100|57|64|87|19|22|35|80|82|90|0|3.1|4|10|12.9|13|20|21.6|23|25|28.4|30|15|16|20|2|12|16||6|||6||4|6|14|3|5|13|1|2|3||||1.2|1.3|1.4||||1.2|1.3|1.4||42.34|91.74|141.14|0.08|0.09|0.1|15.6|19|25.4|10.6|14.1|21.2|3.1|5.5|11.8|37|43|51|0|0|1.1|0|0|30|0|0|7|0|0|0|".10"|".10"|10|20|50|0|0|0|0|0|0|0|1|2|1.2|1.4|1.6||||2.9|39.9|40.6|6.6|7.5|8.4|7.1|7.3|7.8|0|0|0|0|0|0|0|1|3.6|0|0|0|0|0.1|0.1||||800|1006.2|1200|||||||||"18273648"|"53470666"
"C"||"C"||||33|||150|||117||0|0|0|0|3|4|87|92|100|72|83|100|54|64|81|6|8|13|90|94.6|100|0|0.7|5|10|12.9|15|30|36.6|40|35|37.3|40|5|7.1|10|0|1.4|5|||||||3|4|8|1|3.5|5|0.5|0.7|0.9||||1.5|1.6|1.7||||1.58|1.68|1.76||42.34|91.74|141.14|0.05|0.06|0.07|8.5|12.7|16.9|6.2|9.3|13.7|2.3|3.4|7|26|32|41|0|1.5|2.9|0|17|22|0|0|0|0|0|0|".02"|".02"|0|0|0|0|0|0|0|0|0|0|1|2|2.5|3.5|6.5||||40|44.1|45|6.6|7.5|8.4|7.6|7.9|8|0|0|0|0|0|0.01|0|0|0|0|0|0|0|0|0||||115|128|480|||||||||"18273646"|"53470661"
"A"||"A"||||0|||33|||33||0|0|0|0|3|5|85|91|100|68|80|100|52|62|83|17|22|32|80|82|100|0|3.1|5|10|12.9|15|20|21.6|25|25|28.4|30|15|16|20|10|12|15|||||||4|6|14|5|6.4|8|10|12.5|15||||1.2|1.3|1.4||||1.27|1.37|1.43||42.34|91.74|141.14|0.08|0.09|0.1|18|25.5|31.8|16.3|23.1|30.5|11.9|16.9|26.5|29|36|45|0|1.5|2.9|37|46|58|0|0|0|0|0|0|".05"|".05"|0|0|0|0|0|0|0|0|0|0|1|2|6.8|10|21.2||||60|64.7|70|6.6|7.5|8.4|7.1|7.3|7.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||800|1006.2|1200|||||||||"18273646"|"53470662"
"C"||"C"||||45|||150|||105||0|0|0|0|9|13|84|86|100|61|70|100|46|55|85|15|21|33|75|79.2|85|0|3.4|5|10|12.6|15|20|20.7|30|25|27.2|35|10|15.3|20|10|16.8|20|||||||3|4|8|1|3|7|0.05|0.1|0.2||||1.5|1.6|1.7||||1.6|1.7|1.79||42.34|91.74|141.14|0.04|0.06|0.07|6.5|10.1|16.2|4.5|7|12.7|1.4|2.2|5.9|22|28|41|0|1.5|2.9|0|16|21|0|0|0|0|0|0|".10"|".15"|0|0|0|0|0|0|0|0|0|0|1|2|1.4|2.1|4.5||||40|44.1|45|7.4|8.2|9|7.6|7.9|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.1||||115|128.6|480|||||||||"18273645"|"53470659"
"A, AC"||"A"||||0|||45|||45||0|0|0|0|6|10|44|50|55|27|35|48|21|28|40|6|10|15|80|82|100|0|3.1|5|10|12.9|15|20|21.6|30|25|28.4|35|10|16|20|10|12|15|||||||4|6|14|3|5|13|1|2|3||||1.2|1.3|1.4||||1.32|1.42|1.54||42.34|91.74|141.14|0.04|0.06|0.07|5|10.5|16.6|3.7|7.8|13.8|1.4|3|7.7|17|24|33|0|1.5|2.9|17|22|32|0|0|0|0|0|0|".02"|".10"|0|0|0|0|0|0|0|0|0|0|1|2|3.8|6.3|14.1||||60|64.7|70|6.6|7.5|8.4|7|7.4|7.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||800|1006.2|1200|||||||||"18273645"|"53470660"
